,sport,name,year,gender,college,ncaa_college,full_prob,part_prob,ncaa_conf,ncaa_div,ncaa_reclass,ncaa_state
0,Baseball,Mike Wagner,2014.0,M,Allegheny College,Allegheny College,100.0,100.0,North Coast Athletic Conference,III,,PA
1,Baseball,Ryder Arsenault,2013.0,M,Colby College,Colby College,100.0,100.0,New England Small College Athletic Conference,III,,ME
2,Baseball,Trevor Chapin,2013.0,M,Keene State,Keene State College,100.0,100.0,Little East Conference,III,,NH
3,Baseball,Tyler Hill,2010.0,M,Endicott College,Endicott College,100.0,100.0,Commonwealth Coast Conference,III,,MA
4,Baseball,Troy Thibodeau,2010.0,M,University of Southern Maine,University of Southern Maine,100.0,100.0,Little East Conference,III,,ME
5,Baseball,Cole Warren,2010.0,M,University of Rhode Island,University of Rhode Island,100.0,100.0,Atlantic 10 Conference,I-FCS,,RI
6,Baseball,Colin Lynch,2005.0,M,St. John's University,St. John Fisher College,72.0,80.0,Empire 8,III,,NY
7,Baseball,Tom Pavesi,2005.0,M,Solano (CA) Community College,"University of Maryland, Baltimore County",48.0,48.0,America East Conference,I,,MD
8,Baseball,Anthony Scialdone,2005.0,M,Central Connecticut State University,Central Connecticut State University,100.0,100.0,Northeast Conference,I-FCS,,CT
9,Baseball,Greg Norris,1996.0,M,Wofford College,Wofford College,100.0,100.0,Southern Conference,I-FCS,,SC
10,Basketball,Mike Auger,2014.0,M,U Penn,Union University,55.0,50.0,Gulf South Conference,II,,TN
11,Basketball,Tory Miller,2014.0,M,University of Colorado  Boulder,"University of Colorado, Boulder",95.0,95.0,Pac-12 Conference,I-FBS,,CO
12,Basketball,Josh Repine,2014.0,M,University of Colorado  Boulder,"University of Colorado, Boulder",95.0,95.0,Pac-12 Conference,I-FBS,,CO
13,Basketball,Elijah Bryant,2014.0,M,Elon University,Elon University,100.0,100.0,Colonial Athletic Association,I-FCS,,NC
14,Basketball,Aubrey Dawkins,2014.0,M,Univeristy of Michigan,University of Michigan,67.0,100.0,Big Ten Conference,I-FBS,,MI
15,Basketball,Mike LeBlanc,2014.0,M,Princeton University,Princeton University,100.0,100.0,The Ivy League,I-FCS,,NJ
16,Basketball,Matt Dean,2014.0,M,Wentworth Institute of Technology,Wentworth Institute of Technology,100.0,100.0,Commonwealth Coast Conference,III,,MA
17,Basketball,Noah Vonleh,2013.0,M,Indiana,Indiana State University,70.0,100.0,Missouri Valley Conference,I-FCS,,IN
18,Basketball,Travis Jorgenson,2013.0,M,Georgia Tech,Georgia College,74.0,100.0,Peach Belt Conference,II,,GA
19,Basketball,Lincoln Davis,2013.0,M,Fairfield,Fairfield University,100.0,100.0,Metro Atlantic Athletic Conference,I,,CT
20,Basketball,Garrett Dorfman,2013.0,M,Transylvania,Transylvania University,100.0,100.0,Heartland Collegiate Athletic Conference,III,,KY
21,Basketball,Cole McConnell,2013.0,M,Michigan,University of Michigan,84.0,100.0,Big Ten Conference,I-FBS,,MI
22,Basketball,Dustin Triano,2013.0,M,Gonzaga,Gonzaga University,100.0,100.0,West Coast Conference,I,,WA
23,Basketball,Trevor Glassman,2013.0,M,Manhattan,Manhattan College,100.0,100.0,Metro Atlantic Athletic Conference,I,,NY
24,Basketball,Zach Auguste,2012.0,M,Notre Dame,University of Notre Dame,87.0,100.0,Atlantic Coast Conference,I-FBS,,IN
25,Basketball,James Dunivan,2012.0,M,Williams College,Williams College,100.0,100.0,New England Small College Athletic Conference,III,,MA
26,Basketball,Barrington Alston,2012.0,M,Towson University,Towson University,100.0,100.0,Colonial Athletic Association,I-FCS,,MD
27,Basketball,Kazuya Tamura,2012.0,M,University of Puget Sound,University of Puget Sound,100.0,100.0,Northwest Conference,III,,WA
28,Basketball,Evan Manning,2012.0,M,Kansas University,University of Kansas,80.0,100.0,Big 12 Conference,I-FBS,,KS
