time,x-acceleration,y-acceleration,z-acceleration
0.000,0.825,0.433,-0.019
0.020,0.831,0.442,-0.020
0.040,0.829,0.443,-0.022
0.060,0.828,0.444,-0.020
0.080,0.829,0.446,-0.020
0.100,0.829,0.441,-0.022
0.120,0.831,0.435,-0.019
0.140,0.831,0.431,-0.020
0.160,0.832,0.426,-0.019
0.180,0.834,0.426,-0.019
0.200,0.831,0.426,-0.019
0.220,0.831,0.427,-0.021
0.240,0.830,0.433,-0.022
0.260,0.831,0.437,-0.020
0.280,0.830,0.440,-0.021
0.300,0.831,0.438,-0.019
0.320,0.832,0.436,-0.020
0.340,0.831,0.434,-0.021
0.360,0.831,0.431,-0.021
0.380,0.832,0.428,-0.021
0.400,0.833,0.430,-0.021
0.420,0.831,0.431,-0.020
0.440,0.832,0.434,-0.021
0.460,0.830,0.435,-0.019
0.480,0.831,0.435,-0.020
0.500,0.832,0.435,-0.021
0.520,0.830,0.434,-0.020
0.540,0.830,0.431,-0.018
0.560,0.832,0.433,-0.020
0.580,0.833,0.433,-0.022
0.600,0.831,0.432,-0.019
0.620,0.830,0.434,-0.019
0.640,0.831,0.434,-0.020
0.660,0.832,0.433,-0.020
0.680,0.831,0.431,-0.019
0.700,0.831,0.434,-0.022
0.720,0.830,0.436,-0.021
0.740,0.831,0.436,-0.021
0.760,0.830,0.435,-0.021
0.780,0.830,0.436,-0.020
0.800,0.832,0.436,-0.019
0.820,0.832,0.435,-0.019
0.840,0.831,0.431,-0.019
0.860,0.832,0.429,-0.020
0.880,0.832,0.429,-0.021
0.900,0.832,0.431,-0.019
0.920,0.832,0.432,-0.021
0.940,0.832,0.434,-0.021
0.960,0.831,0.436,-0.018
0.980,0.832,0.436,-0.019
1.000,0.831,0.436,-0.020
1.020,0.831,0.433,-0.019
1.040,0.834,0.432,-0.021
1.060,0.833,0.430,-0.019
1.080,0.833,0.432,-0.021
1.100,0.831,0.435,-0.021
1.120,0.830,0.435,-0.017
1.140,0.829,0.436,-0.016
1.160,0.833,0.434,-0.020
1.180,0.834,0.431,-0.019
1.200,0.836,0.428,-0.024
1.220,0.833,0.424,-0.021
1.240,0.831,0.424,-0.018
1.260,0.833,0.426,-0.018
1.280,0.835,0.433,-0.021
1.300,0.833,0.442,-0.022
1.320,0.829,0.448,-0.022
1.340,0.828,0.453,-0.017
1.360,0.832,0.457,-0.023
1.380,0.845,0.473,-0.026
1.400,0.880,0.399,-0.074
1.420,0.986,0.308,0.024
1.440,1.045,0.573,-0.049
1.460,1.048,0.673,-0.117
1.480,0.938,0.644,-0.096
1.500,1.066,0.647,0.024
1.520,1.001,0.614,-0.027
1.540,0.899,0.644,-0.077
1.560,0.996,0.653,-0.072
1.580,1.039,0.650,-0.024
1.600,1.010,0.644,-0.046
1.620,1.020,0.633,-0.046
1.640,1.043,0.665,-0.045
1.660,1.029,0.661,-0.050
1.680,0.995,0.649,-0.045
1.700,0.954,0.627,-0.043
1.720,0.936,0.614,-0.034
1.740,0.919,0.607,-0.031
1.760,0.912,0.602,-0.029
1.780,0.909,0.596,-0.027
1.800,0.905,0.596,-0.030
1.820,0.902,0.600,-0.033
1.840,0.893,0.595,-0.029
1.860,0.873,0.591,-0.033
1.880,0.854,0.597,-0.036
1.900,0.857,0.610,-0.042
1.920,0.870,0.619,-0.040
1.940,0.815,0.605,-0.040
1.960,0.779,0.588,-0.042
1.980,0.757,0.573,-0.041
2.000,0.737,0.560,-0.041
2.020,0.720,0.552,-0.045
2.040,0.699,0.541,-0.051
2.060,0.675,0.528,-0.050
2.080,0.643,0.502,-0.046
2.100,0.596,0.466,-0.045
2.120,0.561,0.441,-0.044
2.140,0.527,0.415,-0.042
2.160,0.497,0.390,-0.039
2.180,0.471,0.368,-0.036
2.200,0.452,0.356,-0.032
2.220,0.432,0.344,-0.029
2.240,0.400,0.318,-0.026
2.260,0.362,0.284,-0.024
2.280,0.322,0.250,-0.025
2.300,0.309,0.240,-0.028
2.320,0.347,0.257,-0.030
2.340,0.436,0.297,-0.038
2.360,0.748,0.388,-0.048
2.380,0.971,0.440,-0.050
2.400,1.100,0.454,-0.053
2.420,1.092,0.429,-0.053
2.440,1.022,0.404,-0.053
2.460,0.909,0.382,-0.049
2.480,0.798,0.390,-0.039
2.500,0.745,0.422,-0.032
2.520,0.716,0.444,-0.024
2.540,0.702,0.452,-0.016
2.560,0.730,0.473,-0.018
2.580,0.778,0.509,-0.023
2.600,0.797,0.517,-0.027
2.620,0.822,0.507,-0.027
2.640,0.821,0.486,-0.030
2.660,0.824,0.453,-0.035
2.680,0.826,0.448,-0.042
2.700,0.807,0.424,-0.041
2.720,0.796,0.438,-0.046
2.740,0.797,0.467,-0.055
2.760,0.794,0.486,-0.058
2.780,0.777,0.471,-0.057
2.800,0.774,0.461,-0.052
2.820,0.788,0.448,-0.045
2.840,0.802,0.440,-0.037
2.860,0.817,0.441,-0.034
2.880,0.828,0.452,-0.037
2.900,0.820,0.454,-0.037
2.920,0.798,0.448,-0.028
2.940,0.774,0.450,-0.025
2.960,0.759,0.458,-0.025
2.980,0.757,0.469,-0.029
3.000,0.755,0.472,-0.028
3.020,0.754,0.459,-0.029
3.040,0.747,0.442,-0.026
3.060,0.740,0.435,-0.024
3.080,0.736,0.427,-0.024
3.100,0.716,0.416,-0.024
3.120,0.700,0.399,-0.021
3.140,0.699,0.392,-0.020
3.160,0.713,0.393,-0.021
3.180,0.741,0.405,-0.023
3.200,0.785,0.433,-0.028
3.220,0.780,0.428,-0.028
3.240,0.768,0.422,-0.025
3.260,0.750,0.414,-0.025
3.280,0.741,0.415,-0.026
3.300,0.743,0.424,-0.027
3.320,0.754,0.433,-0.024
3.340,0.760,0.442,-0.026
3.360,0.751,0.440,-0.025
3.380,0.745,0.438,-0.025
3.400,0.749,0.445,-0.026
3.420,0.764,0.457,-0.028
3.440,0.784,0.467,-0.032
3.460,0.798,0.475,-0.033
3.480,0.797,0.477,-0.030
3.500,0.779,0.475,-0.026
3.520,0.770,0.471,-0.024
3.540,0.775,0.479,-0.025
3.560,0.790,0.488,-0.028
3.580,0.797,0.497,-0.029
3.600,0.801,0.503,-0.030
3.620,0.803,0.516,-0.031
3.640,0.805,0.523,-0.032
3.660,0.802,0.518,-0.028
3.680,0.796,0.513,-0.028
3.700,0.775,0.497,-0.029
3.720,0.766,0.490,-0.030
3.740,0.772,0.500,-0.034
3.760,0.785,0.511,-0.037
3.780,0.796,0.513,-0.032
3.800,0.804,0.517,-0.028
3.820,0.812,0.518,-0.028
3.840,0.803,0.511,-0.032
3.860,0.797,0.503,-0.035
3.880,0.809,0.501,-0.034
3.900,0.811,0.497,-0.033
3.920,0.798,0.490,-0.035
3.940,0.801,0.490,-0.037
3.960,0.806,0.491,-0.039
3.980,0.806,0.490,-0.036
4.000,0.824,0.498,-0.030
4.020,0.840,0.506,-0.029
4.040,0.848,0.510,-0.034
4.060,0.850,0.508,-0.038
4.080,0.850,0.503,-0.038
4.100,0.855,0.503,-0.036
4.120,0.880,0.516,-0.035
4.140,0.899,0.527,-0.035
4.160,0.913,0.533,-0.034
4.180,0.930,0.546,-0.038
4.200,0.928,0.542,-0.044
4.220,0.918,0.535,-0.040
4.240,0.935,0.540,-0.032
4.260,0.963,0.548,-0.033
4.280,0.997,0.563,-0.036
4.300,1.026,0.568,-0.036
4.320,1.035,0.569,-0.042
4.340,1.054,0.570,-0.040
4.360,1.090,0.578,-0.036
4.380,1.126,0.592,-0.035
4.400,1.147,0.606,-0.033
4.420,1.149,0.612,-0.034
4.440,1.143,0.614,-0.034
4.460,1.128,0.612,-0.031
4.480,1.109,0.606,-0.032
4.500,1.104,0.603,-0.032
4.520,1.096,0.604,-0.030
4.540,1.091,0.605,-0.031
4.560,1.068,0.600,-0.032
4.580,1.050,0.594,-0.031
4.600,1.041,0.588,-0.029
4.620,1.029,0.580,-0.030
4.640,1.001,0.572,-0.029
4.660,0.975,0.566,-0.026
4.680,0.958,0.560,-0.022
4.700,0.950,0.555,-0.022
4.720,0.936,0.547,-0.023
4.740,0.906,0.534,-0.021
4.760,0.874,0.521,-0.022
4.780,0.852,0.510,-0.022
4.800,0.819,0.497,-0.019
4.820,0.780,0.477,-0.018
4.840,0.755,0.465,-0.017
4.860,0.733,0.455,-0.017
4.880,0.711,0.447,-0.015
4.900,0.687,0.442,-0.008
4.920,0.662,0.430,-0.001
4.940,0.624,0.410,0.002
4.960,0.581,0.385,0.006
4.980,0.539,0.364,0.009
5.000,0.495,0.347,0.010
5.020,0.449,0.329,0.015
5.040,0.402,0.312,0.018
5.060,0.357,0.293,0.015
5.080,0.329,0.280,0.015
5.100,0.328,0.285,0.014
5.120,0.353,0.302,0.010
5.140,0.398,0.326,0.005
5.160,0.459,0.361,0.002
5.180,0.529,0.409,-0.007
5.200,0.616,0.464,-0.015
5.220,0.686,0.511,-0.018
