time,x-acceleration,y-acceleration,z-acceleration
0.000,0.715,0.440,0.101
0.020,0.713,0.520,0.102
0.040,0.749,0.575,0.091
0.060,0.807,0.646,0.049
0.080,0.807,0.680,0.065
0.100,0.819,0.690,0.045
0.120,0.891,0.734,0.035
0.140,0.981,0.747,0.013
0.160,1.013,0.761,-0.018
0.180,0.996,0.706,-0.022
0.200,0.897,0.650,-0.041
0.220,0.815,0.527,-0.028
0.240,0.712,0.491,-0.016
0.260,0.649,0.460,-0.018
0.280,0.603,0.403,-0.029
0.300,0.533,0.327,-0.031
0.320,0.520,0.287,-0.028
0.340,0.597,0.303,-0.049
0.360,0.732,0.306,-0.049
0.380,0.840,0.328,-0.058
0.400,0.927,0.327,-0.065
0.420,1.007,0.339,-0.077
0.440,1.058,0.348,-0.079
0.460,1.068,0.348,-0.088
0.480,1.079,0.358,-0.082
0.500,1.065,0.354,-0.069
0.520,1.004,0.345,-0.054
0.540,0.912,0.323,-0.040
0.560,0.846,0.305,-0.028
0.580,0.799,0.289,-0.023
0.600,0.754,0.259,-0.017
0.620,0.699,0.224,-0.005
0.640,0.639,0.201,0.006
0.660,0.636,0.188,0.007
0.680,0.686,0.194,0.004
0.700,0.766,0.208,-0.003
0.720,0.873,0.227,-0.004
0.740,0.987,0.259,-0.005
0.760,1.065,0.280,-0.014
0.780,1.082,0.293,-0.027
0.800,1.068,0.308,-0.032
0.820,1.048,0.324,-0.026
0.840,1.008,0.336,-0.020
0.860,0.949,0.341,-0.009
0.880,0.873,0.338,-0.000
0.900,0.804,0.328,0.003
0.920,0.739,0.323,0.002
0.940,0.695,0.319,-0.006
0.960,0.673,0.324,-0.009
0.980,0.687,0.337,-0.013
1.000,0.756,0.365,-0.023
1.020,0.877,0.400,-0.026
1.040,0.986,0.430,-0.026
1.060,1.034,0.440,-0.035
1.080,1.061,0.438,-0.040
1.100,1.032,0.425,-0.050
1.120,0.980,0.408,-0.054
1.140,0.914,0.391,-0.053
1.160,0.854,0.377,-0.044
1.180,0.784,0.358,-0.035
1.200,0.755,0.345,-0.023
1.220,0.724,0.340,-0.017
1.240,0.721,0.337,-0.009
1.260,0.756,0.335,-0.005
1.280,0.770,0.332,-0.006
1.300,0.831,0.336,-0.009
1.320,0.863,0.336,-0.011
1.340,0.903,0.345,-0.010
1.360,0.931,0.348,-0.008
1.380,0.937,0.349,-0.004
1.400,0.917,0.342,-0.007
1.420,0.890,0.331,-0.014
1.440,0.863,0.327,-0.019
1.460,0.837,0.323,-0.021
