time,x-acceleration,y-acceleration,z-acceleration
0.000,-0.003,0.037,1.010
0.020,-0.002,0.038,1.018
0.040,-0.003,0.039,1.017
0.060,-0.004,0.039,1.016
0.080,-0.003,0.037,1.016
0.100,-0.002,0.038,1.016
0.120,-0.003,0.038,1.016
0.140,-0.003,0.039,1.015
0.160,-0.001,0.039,1.017
0.180,-0.003,0.039,1.015
0.200,-0.003,0.039,1.016
0.220,-0.003,0.038,1.016
0.240,-0.003,0.037,1.016
0.260,-0.002,0.038,1.016
0.280,-0.003,0.039,1.015
0.300,-0.003,0.038,1.017
0.320,-0.002,0.038,1.015
0.340,-0.004,0.039,1.016
0.360,-0.003,0.039,1.017
0.380,-0.002,0.039,1.016
0.400,-0.003,0.039,1.015
0.420,-0.003,0.040,1.018
0.440,-0.004,0.039,1.016
0.460,-0.002,0.039,1.015
0.480,-0.002,0.038,1.016
0.500,-0.002,0.040,1.018
0.520,-0.004,0.039,1.017
0.540,-0.004,0.039,1.016
0.560,-0.004,0.038,1.015
0.580,-0.001,0.039,1.016
0.600,-0.003,0.039,1.016
0.620,-0.002,0.039,1.017
0.640,-0.003,0.039,1.016
0.660,-0.003,0.039,1.020
0.680,-0.004,0.039,1.019
0.700,-0.003,0.038,1.018
0.720,-0.003,0.039,1.016
0.740,-0.003,0.039,1.013
0.760,-0.003,0.039,1.014
0.780,-0.004,0.039,1.016
0.800,-0.003,0.039,1.017
0.820,-0.004,0.040,1.015
0.840,-0.004,0.040,1.017
0.860,-0.003,0.039,1.018
0.880,-0.003,0.039,1.017
0.900,-0.003,0.041,1.015
0.920,-0.004,0.038,1.017
0.940,-0.004,0.038,1.017
0.960,-0.003,0.040,1.016
0.980,-0.002,0.040,1.015
1.000,-0.004,0.040,1.015
1.020,-0.002,0.040,1.018
1.040,-0.003,0.039,1.017
1.060,-0.004,0.037,1.016
1.080,-0.001,0.039,1.019
1.100,-0.002,0.038,1.016
1.120,-0.003,0.038,1.015
1.140,-0.004,0.039,1.015
1.160,-0.002,0.038,1.018
1.180,-0.004,0.038,1.017
1.200,-0.004,0.040,1.017
1.220,-0.001,0.038,1.016
1.240,-0.003,0.038,1.017
1.260,-0.003,0.039,1.018
1.280,-0.004,0.039,1.019
1.300,-0.004,0.040,1.014
1.320,-0.003,0.040,1.017
1.340,-0.003,0.040,1.016
1.360,-0.003,0.039,1.016
1.380,-0.003,0.038,1.015
1.400,-0.003,0.038,1.017
1.420,-0.002,0.037,1.019
1.440,-0.004,0.039,1.015
1.460,-0.004,0.039,1.016
1.480,-0.002,0.039,1.019
1.500,-0.002,0.039,1.015
1.520,-0.002,0.040,1.016
1.540,-0.001,0.038,1.016
