time,x-acceleration,y-acceleration,z-acceleration
0.000,0.735,-0.337,-0.302
0.020,0.742,-0.341,-0.305
0.040,0.740,-0.340,-0.305
0.060,0.738,-0.340,-0.303
0.080,0.740,-0.341,-0.302
0.100,0.742,-0.341,-0.304
0.120,0.741,-0.340,-0.304
0.140,0.740,-0.339,-0.304
0.160,0.740,-0.340,-0.303
0.180,0.738,-0.340,-0.303
0.200,0.740,-0.339,-0.303
0.220,0.739,-0.339,-0.304
0.240,0.740,-0.339,-0.304
0.260,0.741,-0.341,-0.304
0.280,0.740,-0.341,-0.302
0.300,0.740,-0.341,-0.305
0.320,0.738,-0.338,-0.304
0.340,0.738,-0.338,-0.305
0.360,0.741,-0.339,-0.304
0.380,0.740,-0.340,-0.304
0.400,0.739,-0.340,-0.306
0.420,0.739,-0.340,-0.303
0.440,0.740,-0.340,-0.305
0.460,0.740,-0.340,-0.304
0.480,0.742,-0.342,-0.304
0.500,0.741,-0.341,-0.304
0.520,0.738,-0.340,-0.304
0.540,0.740,-0.339,-0.302
0.560,0.739,-0.339,-0.304
0.580,0.740,-0.340,-0.305
0.600,0.739,-0.340,-0.305
0.620,0.739,-0.339,-0.306
0.640,0.741,-0.340,-0.305
0.660,0.740,-0.339,-0.303
0.680,0.740,-0.341,-0.304
0.700,0.740,-0.341,-0.305
0.720,0.739,-0.341,-0.303
0.740,0.740,-0.339,-0.303
0.760,0.740,-0.340,-0.303
0.780,0.740,-0.340,-0.305
0.800,0.739,-0.340,-0.305
0.820,0.739,-0.339,-0.303
0.840,0.740,-0.340,-0.303
0.860,0.741,-0.341,-0.305
0.880,0.743,-0.341,-0.305
0.900,0.741,-0.340,-0.303
0.920,0.744,-0.341,-0.305
0.940,0.738,-0.339,-0.303
0.960,0.740,-0.341,-0.305
0.980,0.740,-0.339,-0.304
1.000,0.739,-0.339,-0.303
1.020,0.741,-0.341,-0.306
1.040,0.738,-0.340,-0.303
1.060,0.738,-0.340,-0.303
1.080,0.739,-0.341,-0.303
1.100,0.740,-0.340,-0.305
1.120,0.739,-0.339,-0.303
1.140,0.739,-0.339,-0.304
1.160,0.738,-0.339,-0.304
1.180,0.741,-0.340,-0.305
1.200,0.740,-0.340,-0.304
1.220,0.739,-0.339,-0.303
1.240,0.740,-0.340,-0.303
1.260,0.741,-0.340,-0.304
1.280,0.742,-0.340,-0.304
1.300,0.739,-0.339,-0.303
1.320,0.741,-0.342,-0.304
1.340,0.739,-0.341,-0.305
1.360,0.739,-0.340,-0.303
1.380,0.740,-0.340,-0.305
1.400,0.738,-0.340,-0.304
1.420,0.740,-0.339,-0.302
1.440,0.739,-0.340,-0.304
1.460,0.740,-0.339,-0.305
1.480,0.739,-0.339,-0.306
1.500,0.739,-0.340,-0.304
1.520,0.739,-0.341,-0.304
1.540,0.740,-0.340,-0.304
1.560,0.743,-0.340,-0.304
1.580,0.740,-0.341,-0.304
1.600,0.740,-0.340,-0.303
1.620,0.740,-0.339,-0.304
1.640,0.740,-0.341,-0.304
1.660,0.740,-0.340,-0.305
1.680,0.739,-0.340,-0.302
1.700,0.739,-0.341,-0.303
1.720,0.740,-0.339,-0.304
1.740,0.740,-0.339,-0.305
1.760,0.738,-0.340,-0.304
1.780,0.740,-0.341,-0.304
1.800,0.741,-0.339,-0.303
1.820,0.741,-0.340,-0.304
1.840,0.738,-0.339,-0.305
1.860,0.740,-0.339,-0.305
1.880,0.740,-0.340,-0.303
1.900,0.739,-0.341,-0.304
1.920,0.740,-0.341,-0.304
1.940,0.740,-0.342,-0.303
1.960,0.740,-0.340,-0.305
1.980,0.739,-0.339,-0.304
