time,x-acceleration,y-acceleration,z-acceleration
0.000,-0.077,0.090,1.010
0.020,-0.077,0.092,1.022
0.040,-0.077,0.094,1.017
0.060,-0.076,0.092,1.020
0.080,-0.078,0.091,1.018
0.100,-0.078,0.093,1.018
0.120,-0.077,0.094,1.021
0.140,-0.076,0.091,1.020
0.160,-0.077,0.091,1.020
0.180,-0.076,0.093,1.019
0.200,-0.077,0.092,1.017
0.220,-0.077,0.092,1.019
0.240,-0.077,0.094,1.017
0.260,-0.078,0.094,1.018
0.280,-0.078,0.092,1.019
0.300,-0.077,0.092,1.018
0.320,-0.077,0.092,1.021
0.340,-0.078,0.092,1.018
0.360,-0.078,0.091,1.018
0.380,-0.076,0.094,1.020
0.400,-0.076,0.091,1.019
0.420,-0.076,0.092,1.018
0.440,-0.077,0.092,1.016
0.460,-0.077,0.093,1.018
0.480,-0.077,0.092,1.020
0.500,-0.076,0.092,1.019
0.520,-0.076,0.093,1.018
0.540,-0.076,0.092,1.017
0.560,-0.078,0.092,1.018
0.580,-0.078,0.092,1.017
0.600,-0.076,0.091,1.020
0.620,-0.076,0.091,1.020
0.640,-0.077,0.091,1.019
0.660,-0.078,0.092,1.017
0.680,-0.077,0.092,1.017
0.700,-0.077,0.093,1.021
0.720,-0.077,0.092,1.020
0.740,-0.077,0.091,1.019
0.760,-0.076,0.093,1.017
0.780,-0.078,0.091,1.017
0.800,-0.077,0.091,1.019
0.820,-0.077,0.091,1.020
0.840,-0.076,0.093,1.019
0.860,-0.078,0.092,1.019
0.880,-0.077,0.093,1.017
0.900,-0.075,0.093,1.020
0.920,-0.076,0.092,1.019
0.940,-0.077,0.091,1.021
0.960,-0.077,0.093,1.019
0.980,-0.076,0.094,1.017
1.000,-0.077,0.092,1.017
1.020,-0.076,0.092,1.019
1.040,-0.076,0.093,1.020
1.060,-0.076,0.093,1.018
1.080,-0.077,0.092,1.019
1.100,-0.077,0.092,1.017
1.120,-0.077,0.092,1.018
1.140,-0.077,0.091,1.020
1.160,-0.076,0.091,1.016
1.180,-0.079,0.091,1.018
